,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,1,4,4,10/1/2023,LVR,@,LAC,"L, 17-24",*,24,39,12,26.1,255,6.5,104,4.3,2.7,134,5.6,1,1,0,2,5.3,10,26.3,8,0,1,8,17.4,0,3,3,2,3,1,0,0,0
2,2,7,7,10/22/2023,LVR,@,CHI,"L, 12-30",,10,13,6,46.2,99,7.6,44,4.4,3.4,31,3.1,0,0,0,0,0,2,15.4,3,0,0,0,0,0,0,0,0,0,,0,,0
3,3,9,9,11/5/2023,LVR,,NYG,"W, 30-6",*,16,25,9,36,203,8.1,87,5.4,3.5,122,7.6,0,1,0,1,4.2,3,12.5,11,0,1,1,4,0,0,0,0,0,,0,,0
4,4,10,10,11/12/2023,LVR,,NYJ,"W, 16-12",*,16,27,7,23.3,197,7.3,70,4.4,2.6,83,5.2,0,2,0,1,4,5,20,5,0,3,6,20,0,2,3,1,1,0.5,2,1,0
5,5,11,11,11/19/2023,LVR,@,MIA,"L, 13-20",*,24,41,10,23.3,406,9.9,170,7.1,4.1,101,4.2,1,2,0,2,5.1,7,17.9,5,1,4,7,16.3,0,1,3,1,1,1,2,2,0
6,6,12,12,11/26/2023,LVR,,KAN,"L, 17-31",*,23,33,12,35.3,159,4.8,103,4.5,3.1,145,6.3,1,1,0,2,6.3,5,15.6,11,0,3,4,11.8,0,0,0,0,0,,0,,0
7,7,13,14,12/10/2023,LVR,,MIN,"L, 0-3",*,21,32,5,13.9,144,4.5,51,2.4,1.6,120,5.7,0,3,0,1,3.4,5,17.2,16,2,1,7,19.4,0,1,2,1,2,2,0,0,0
8,8,14,15,12/14/2023,LVR,,LAC,"W, 63-21",*,20,34,12,34.3,291,8.6,153,7.7,4.5,95,4.8,3,2,0,0,0,3,9.4,11,0,1,2,5.7,0,0,0,0,0,,0,,0
9,9,15,16,12/25/2023,LVR,@,KAN,"W, 20-14",*,9,21,3,13,157,7.5,25,2.8,1.2,37,4.1,1,2,0,4,21.1,4,21.1,7,1,4,7,30.4,0,4,-4,0,-4,-1,0,0,0
10,10,16,17,12/31/2023,LVR,@,IND,"L, 20-23",*,30,47,19,38.8,429,9.1,187,6.2,4,112,3.7,0,1,0,1,2.2,9,19.6,9,3,2,7,14.3,0,2,3,1,2,1,1,0.5,0
11,11,17,18,1/7/2024,LVR,,DEN,"W, 27-14",*,20,31,12,36.4,227,7.3,161,8.1,5.2,83,4.2,0,4,1,1,3.8,3,11.5,15,0,2,4,12.1,0,4,1,1,1,0.3,0,0,0
,,,,,,,,6-May,,213,343,107,29.2,2567,7.5,1155,5.4,3.4,1063,5,7,19,1,15,4.6,56,17.3,101,7,22,53,14.4,0,17,11,7,6,0.4,5,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
